Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Time (product.metafields.custom.time),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
cap,Cap,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-cap,0.0,shopify,deny,manual,16.00,18.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/cap-2.jpg?v=1724756583,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/cap-2.jpg,false,,,,,,,,,,,,,,,,,kg,,16.00,true,,,true,,,active
sunglasses,Sunglasses,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-sunglasses,0.0,shopify,deny,manual,90.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/sunglasses-2.jpg?v=1724756581,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/sunglasses-2.jpg,false,,,,,,,,,,,,,,,,,kg,,90.00,true,,,true,,,active
hoodie-with-logo,Hoodie with Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-hoodie-with-logo,0.0,shopify,deny,manual,45.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-logo-2_85c48cb3-9820-4770-b366-b09e9c05c61c.jpg?v=1724756579,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-logo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,45.00,true,,,true,,,active
hoodie-with-pocket,Hoodie with Pocket,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-hoodie-with-pocket,0.0,shopify,deny,manual,35.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-pocket-2.jpg?v=1724756578,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-pocket-2.jpg,false,,,,,,,,,,,,,,,,,kg,,35.00,true,,,true,,,active
hoodie-with-zipper,Hoodie with Zipper,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-hoodie-with-zipper,0.0,shopify,deny,manual,45.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-zipper-2.jpg?v=1724756576,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-zipper-2.jpg,false,,,,,,,,,,,,,,,,,kg,,45.00,true,,,true,,,active
long-sleeve-tee,Long Sleeve Tee,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-long-sleeve-tee,0.0,shopify,deny,manual,25.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/long-sleeve-tee-2.jpg?v=1724756574,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/long-sleeve-tee-2.jpg,false,,,,,,,,,,,,,,,,,kg,,25.00,true,,,true,,,active
album,Album,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-album,0.0,shopify,deny,manual,15.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/album-1.jpg?v=1724756573,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/album-1.jpg,false,,,,,,,,,,,,,,,,,kg,,15.00,true,,,true,,,active
single,Single,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-single,0.0,shopify,deny,manual,2.00,3.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/single-1.jpg?v=1724756571,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/single-1.jpg,false,,,,,,,,,,,,,,,,,kg,,2.00,true,,,true,,,active
t-shirt-with-logo,T-Shirt with Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,Woo-tshirt-logo,0.0,shopify,deny,manual,18.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/t-shirt-with-logo-1_1ad35cc5-4f42-4520-bd79-57323170f13c.jpg?v=1724756570,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/t-shirt-with-logo-1.jpg,false,,,,,,,,,,,,,,,,,kg,,18.00,true,,,true,,,active
beanie-with-logo,Beanie with Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,Woo-beanie-logo,0.0,shopify,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/beanie-with-logo-1_b44675b5-5a2f-4f4a-8df7-addff136f75b.jpg?v=1724756567,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/beanie-with-logo-1.jpg,false,,,,,,,,,,,,,,,,,kg,,18.00,true,,,true,,,active
logo-collection,Logo Collection,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,grouped,"",true,Title,Default Title,,,,,,,,logo-collection,0.0,shopify,deny,manual,0.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/logo-1.jpg?v=1724756566,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/logo-1.jpg,false,,,,,,,,,,,,,,,,,kg,,0.00,true,,,true,,,active
logo-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/beanie-with-logo-1.jpg?v=1724756566,2,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/beanie-with-logo-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
logo-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/t-shirt-with-logo-1.jpg?v=1724756566,3,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/t-shirt-with-logo-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
logo-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-logo-2.jpg?v=1724756566,4,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-logo-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordpress-pennant-1,WordPress Pennant,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,external,"",true,Title,Default Title,,,,,,,,wp-pennant,0.0,shopify,deny,manual,11.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/pennant-1_4636921c-bcbf-42cb-a26e-03fe653d2a00.jpg?v=1724756564,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/pennant-1.jpg,false,,,,,,,,,,,,,,,,,kg,,11.00,true,,,true,,,active
polo-4,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_52c9b48b-68f3-464b-a193-6adc3863d649.jpg?v=1724756562,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
wordpress-pennant,WordPress Pennant,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,external,"",true,Title,Default Title,,,,,,,,wp-pennant,0.0,shopify,deny,manual,11.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/pennant-1.jpg?v=1724756544,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/pennant-1.jpg,false,,,,,,,,,,,,,,,,,kg,,11.00,true,,,true,,,active
polo-3,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_dbb8659f-8238-4459-baf7-5ed9ee63c164.jpg?v=1724756542,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-2,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_87cc53b1-486a-4793-a55d-7821fee7dbdf.jpg?v=1724756228,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-1,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_ebbd09c1-2d3b-4fa5-ad18-511cc4008760.jpg?v=1724752878,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2.jpg?v=1724752812,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
